INV_TYPE,EMP_NO,ARROND,ARROND_NOM,Rue,COTE,No_civique,Emplacement,Coord_X,Coord_Y,SIGLE,Essence_latin,Essence_fr,ESSENCE_ANG,DHP,Date_releve,Date_plantation,LOCALISATION,CODE_PARC,NOM_PARC,Longitude,Latitude
"H",17560,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295444.80600000004,5039719,"ACSA","Acer saccharinum","Érable argenté","Silver Maple",67,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619702,45.497331
"H",17561,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295445.206,5039721.5,"ACSA","Acer saccharinum","Érable argenté","Silver Maple",50,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619697,45.497353
"H",17563,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295447.905,5039725.5,"ACSA","Acer saccharinum","Érable argenté","Silver Maple",75,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619663,45.497389
"H",17564,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295449.945,5039730.5,"MA","Malus","Pommier","Crab Apple",16,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619637,45.497434
"H",17565,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295450.91,5039735,"MA","Malus","Pommier","Crab Apple",21,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619624,45.497475
"H",17566,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295450.26399999997,5039739.5,"MA","Malus","Pommier","Crab Apple",18,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619633,45.497515
"H",17567,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295416.795,5039734,"TIERWR","Tilia x europaea 'Wratislaviensis'","Tilleul de Varsovie","Warsaw Linden",2,"2022-12-05T00:00:00","2018-11-05T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620061,45.497465
"H",17568,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295422.50399999996,5039742.5,"FRPE","Fraxinus pennsylvanica","Frêne de Pennsylvanie","Red Ash",29,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619988,45.497542
"H",17569,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295430.094,5039750.5,"ZESEGV","Zelkova serrata 'Green Vase'","Zelkova du Japon Green Vase","Green Vase Japanese Zelkova",5,"2022-12-05T00:00:00","2018-11-05T00:00:00",,"0509-000","JEAN-BRILLANT",-73.619891,45.497614
"H",17570,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295437.175,5039754,"ACSA","Acer saccharinum","Érable argenté","Silver Maple",48,"2021-05-07T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.6198,45.497646
"H",17571,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295444.81,5039749,"ACSA","Acer saccharinum","Érable argenté","Silver Maple",48,"2021-05-07T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619703,45.497601
"H",17572,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295453.988,5039741.5,"ACSA","Acer saccharinum","Érable argenté","Silver Maple",51,"2021-05-07T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619585,45.497533
"H",17573,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295470.869,5039731,"ACSA","Acer saccharinum","Érable argenté","Silver Maple",53,"2021-05-07T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619369,45.497439
"H",17574,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295480.751,5039724.5,"ACSA","Acer saccharinum","Érable argenté","Silver Maple",48,"2021-05-07T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619242,45.497381
"H",17575,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295492.799,5039715,"ACSA","Acer saccharinum","Érable argenté","Silver Maple",50,"2021-05-07T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619088,45.497295
"H",17576,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295499.00899999996,5039711,"ACSA","Acer saccharinum","Érable argenté","Silver Maple",39,"2021-05-07T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619008,45.49726
"H",17577,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295508.52,5039704,"ACSA","Acer saccharinum","Érable argenté","Silver Maple",42,"2021-05-07T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.618887,45.497197
"H",17578,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295510.175,5039697.5,"FRPE","Fraxinus pennsylvanica","Frêne de Pennsylvanie","Red Ash",36,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.618865,45.497138
"H",17581,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295511.894,5039684.5,"FRPE","Fraxinus pennsylvanica","Frêne de Pennsylvanie","Red Ash",33,"2008-08-21T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.618843,45.497021
"H",17583,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295488.029,5039710.5,"GLTR","Gleditsia triacanthos","Févier d'Amérique","Common Honey-Locust",34,"2022-04-25T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619149,45.497255
"H",17584,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295483.158,5039705.5,"GLTR","Gleditsia triacanthos","Févier d'Amérique","Common Honey-Locust",35,"2022-04-25T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619211,45.49721
"H",17585,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295489.442,5039692.399,"GLTR","Gleditsia triacanthos","Févier d'Amérique","Common Honey-Locust",33,"2022-04-25T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619131,45.497092
"H",17586,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295476.13300000003,5039703,"GLTR","Gleditsia triacanthos","Févier d'Amérique","Common Honey-Locust",36,"2022-04-25T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619301,45.497187
"H",17587,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295471.934,5039706,"GLTR","Gleditsia triacanthos","Févier d'Amérique","Common Honey-Locust",32,"2022-04-25T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619355,45.497214
"H",17588,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295466.153,5039709,"GLTR","Gleditsia triacanthos","Févier d'Amérique","Common Honey-Locust",37,"2022-04-25T00:00:00",,,"0509-000","JEAN-BRILLANT",-73.619429,45.497241
"H",87655,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"Parterre Gazonné",295401.649,5039640.234,"GIBI","Ginkgo biloba","Ginkgo à feuilles bilobées","Maidenhair Tree",6,"2015-11-27T00:00:00","2015-08-03T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620253,45.496621
"H",87656,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"Parterre Gazonné",295405.919,5039646.444,"GIBI","Ginkgo biloba","Ginkgo à feuilles bilobées","Maidenhair Tree",6,"2015-11-27T00:00:00","2015-08-03T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620198,45.496677
"H",87657,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"Parterre Gazonné",295397.147,5039654.828,"QUPA","Quercus palustris","Chêne des marais","Pin Oak",6,"2015-11-27T00:00:00","2015-08-03T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620311,45.496753
"H",87658,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"Parterre Gazonné",295379.75899999996,5039658.088,"QURU","Quercus rubra","Chêne rouge","Red Oak",6,"2015-11-27T00:00:00","2015-08-03T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620533,45.496782
"H",87659,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"Parterre Gazonné",295377.43,5039657.467,"QUPA","Quercus palustris","Chêne des marais","Pin Oak",5,"2015-08-03T00:00:00","2015-08-03T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620563,45.496776
"H",87660,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"Parterre Gazonné",295357.015,5039676.33,"GIBI","Ginkgo biloba","Ginkgo à feuilles bilobées","Maidenhair Tree",5,"2015-08-03T00:00:00","2015-08-03T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620825,45.496946
"H",87661,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"Parterre Gazonné",295363.07,5039685.8,"GIBI","Ginkgo biloba","Ginkgo à feuilles bilobées","Maidenhair Tree",5,"2015-08-03T00:00:00","2015-08-03T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620747,45.497031
"H",87662,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"Parterre Gazonné",295379.44899999996,5039689.836,"GIBI","Ginkgo biloba","Ginkgo à feuilles bilobées","Maidenhair Tree",5,"2015-08-03T00:00:00","2015-08-03T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620538,45.497068
"H",132197,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295392.675,5039645.169,"CICA","Cercis canadensis","Cercis canadensis","Cercis canadensis",5,"2021-10-19T00:00:00","2021-10-19T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620368,45.496666
"H",132198,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295399.45399999997,5039644.058,"CICA","Cercis canadensis","Cercis canadensis","Cercis canadensis",5,"2021-10-19T00:00:00","2021-10-19T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620281,45.496656
"H",132199,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295409.455,5039644.391,"ACPLEQ","Acer platanoides 'Emerald Queen'","Érable de Norvège Emerald Queen","Emerald Queen Norway Maple",5,"2021-10-19T00:00:00","2021-10-19T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620153,45.496659
"H",132200,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295403.066,5039635.557,"QUROCS","Quercus robur 'Crimson Spire'","Quercus robur 'Crimson Spire'","Quercus robur 'Crimson Spire'",5,"2021-10-19T00:00:00","2021-10-19T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620235,45.496579
"H",132201,7,"Côte-des-Neiges - Notre-Dame-de-Grâce",,,,"PArc",295400.565,5039652.281,"ULXXCA","Ulmus X 'Cathedral'","Orme 'Cathedral'","Cathedral elm",5,"2021-10-19T00:00:00","2021-10-19T00:00:00",,"0509-000","JEAN-BRILLANT",-73.620267,45.49673
